stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
12801,Park Bl & Meade Av,32.7575744604,-117.146108851,12801,0,,1,F-N/B,,,Park&Meade
12802,Park Bl & Madison Av,32.7612215862,-117.146129685,12802,0,,1,F-N/B,,,Park&Madison
12804,Park Bl & University Av,32.748933325,-117.146082763,12804,0,,1,F-N/B,paruni,,Park&Univ
12805,Murray Ridge Rd & Mission Center Rd,32.7901162361,-117.144679574,12805,0,,1,F-N/B,,,Murray Ridge&Mission Ctr
12806,Kearny Villa Rd & Balboa Av,32.8222268295,-117.143961,12806,0,,1,F-N/B,keabal,,Kearny Villa&Balboa
12807,Camino Ruiz & Reagan Rd,32.9084322814,-117.144944765,12807,0,,1,F-N/B,,,Cmo Ruiz&Reagan
12808,Murray Ridge Rd & Polland Av,32.7974222066,-117.142723154,12808,0,,1,F-E/B,,,Murray Ridge&Polland
12810,Murray Ridge Rd & Macawa Av,32.8007858893,-117.142031532,12810,0,,1,F-E/B,,,Murray Ridge&Macawa
12812,Murray Ridge Rd & Murray Ridge Ct,32.8032218837,-117.14115798,12812,0,,1,F-N/B,,,Murray Ridge&Murray Ridge
12813,Texas St & Camino Del Rio S,32.7677005696,-117.139188323,12813,0,,1,F-N/B,txcams,,Texas&Cmo Del Rio S
12814,Texas St & Madison Av,32.7608242862,-117.13873833,12814,0,,1,N-N/B,,,Texas&Madison
12818,30th St & Elm St,32.7246555065,-117.130078888,12818,0,,1,F-N/B,,,30th&Elm
12819,30th St & Polk Av,32.7524595966,-117.130054133,12819,0,,1,F-N/B,,,30th&Polk
12820,30th St & Lincoln Av,32.7508380452,-117.130044441,12820,0,,1,F-N/B,,,30th&Lincoln
12821,30th St & Meade Av,32.7576019467,-117.130069721,12821,0,,1,F-N/B,,,30th&Meade
12822,30th St & Monroe Av,32.7594159034,-117.130078083,12822,0,,1,F-N/B,,,30th&Monroe
12823,30th St & El Cajon Bl,32.7558978762,-117.130068962,12823,0,,1,F-N/B,,,30th&El Cjn
12824,30th St & University Av,32.7487985415,-117.130059847,12824,0,,1,F-N/B,30uniN,,30th&Univ
12828,30th St & Juniper St,32.7298927456,-117.129506854,12828,0,,1,F-N/B,,,30th&Juniper
12830,30th St & Redwood St,32.7376566001,-117.129216864,12830,0,,1,F-N/B,30red,,30th&Redwood
12831,Gramercy Dr & Ruffin Rd,32.8022838804,-117.12976778,12831,0,,1,F-W/B,,,Gramercy&Ruffin
12836,Ruffin Rd & Sky Park Ct,32.817196161,-117.12412295,12836,0,,1,F-N/B,rufsky,,Ruffin&Sky Park
12837,Black Mountain Rd & Village Greens MHP (10771),32.9150193872,-117.124355586,12837,0,,1,M-Street-N/B,,,Black Mtn&Vlge Greens MHP (10771)
12838,Black Mountain Rd & Hillery Dr,32.9126681465,-117.124146475,12838,0,,1,N-N/B,,,Black Mtn&Hillery
12839,Black Mountain Rd & Gold Coast Dr,32.9057267872,-117.123953672,12839,0,,1,F-N/B,blagol,,Black Mtn&Gold Coast
