stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short,stop_url
99255,Jamacha Bl & Kempton St,32.70764468,-117.002662,99255,0,,1,N-E/B,,,Jamacha&Kempton,
99256,Sweetwater Rd & Tyler St,32.73003297,-117.0144196,99256,0,,1,N-N/B,,,Swtwter&Tyler,
99257,Sweetwater Rd & Tyler St,32.73102138,-117.0145875,99257,0,,1,N-S/B,,,Swtwter&Tyler,
99258,Broadway & Sweetwater Rd,32.74485626,-117.020051,99258,0,,0,N-E/B,,,Brdwy&Swtwter,
99259,Broadway & Sweetwater Rd,32.74507808,-117.0201798,99259,0,,1,F-W/B,,,Brdwy&Swtwter,
99260,Camino Del Rio N & 3456,32.778567,-117.1189016,99260,0,,1,M-Street-W/B,,,Cmo Del Rio N&3456,
99261,Mission City Pkwy & Camino Del Rio N,32.77639291,-117.1255172,99261,0,,1,F-S/B,,,Mission City&Cmo Del Rio N,
99262,Camino Del Rio S & 3160,32.77382673,-117.12461,99262,0,,1,M-Street-W/B,,,Cmo Del Rio S&3160,
99263,Camino Del Rio S & 2828,32.77077838,-117.1319841,99263,0,,1,M-Street-W/B,,,Cmo Del Rio S&2828,
99266,Camino Ruiz & Calle Morelos,32.92351605,-117.143811,99266,0,,1,F-N/B,,,Cmo Ruiz&Calle Morelos,
99267,Camino Ruiz & Calle Morelos,32.9230248,-117.1440895,99267,0,,1,F-S/B,,,Cmo Ruiz&Calle Morelos,
99268,Zapata Av & Camino Ruiz,32.92720069,-117.1435845,99268,0,,1,F-E/B,,,Zapata&Cmo Ruiz,
99270,Barnes Canyon Rd & Pacific Heights Bl,32.90131328,-117.1937665,99270,0,,1,F-W/B,,,Barnes Cyn&Pcfc Heights,
99271,Barnes Canyon Rd & Pacific Heights Bl,32.90130203,-117.1934406,99271,0,,1,N-E/B,,,Barnes Cyn&Pcfc Heights,
99276,Paradise Valley Rd & Plaza Entrada,32.68880525,-117.067203,99276,0,,1,N-E/B,,,Pdse Vly&Pza Entrada,
99279,Paradise Valley Rd & Plaza Bl,32.68902206,-117.0672505,99279,0,,1,F-W/B,,,Pdse Vly&Pza,
99281,18th St & C St,32.66787097,-117.1007773,99281,0,,1,N-E/B,,,18th&C,
99282,18th St & Harding Av,32.66620281,-117.1074939,99282,0,,2,N-W/B,,,18th&Harding,
99285,18th St & L Av,32.67077924,-117.0911119,99285,0,,1,N-W/B,,,18th&L,
99286,18th St & Highland Av,32.66964963,-117.0951273,99286,0,,1,N-W/B,high18,,18th&Highland,
99288,18th St & C Av,32.66808777,-117.1008249,99288,0,,1,F-W/B,,,18th&C,
99289,D Av & Plaza Bl,32.67514905,-117.1019622,99289,0,,1,N-N/B,,,D&Pza,
99290,D Av & Plaza Bl,32.67538897,-117.102244,99290,0,,2,N-S/B,,,D&Pza,
99291,La Mesa Bl & University Av,32.7678116,-117.0156355,99291,0,,1,F-S/B,,,La Mesa&Univ,
99299,Friars Rd & Riverdale St,32.79070013,-117.099377,99299,0,,0,N-W/B,,,Friars&Riverdale,
99302,4th St & U Av,32.6853627,-117.0870812,99302,0,,1,F-W/B,,,4th&U,
99303,4th St & Palm Av,32.68417427,-117.0912787,99303,0,,1,N-W/B,,,4th&Palm,
99304,4th St & Laurel Av,32.6830339,-117.0952588,99304,0,,1,N-W/B,,,4th&Laurel,
99305,4th St & K Av,32.68258034,-117.0968697,99305,0,,2,N-W/B,,,4th&K,
99306,E 4th St & Highland Av,32.68156334,-117.1004707,99306,0,,2,F-W/B,,,E 4th&Highland,
99308,18th St & National City Bl,32.66712191,-117.104169,99308,0,,1,F-W/B,nat18t,,18th&Natl City,
99310,Division St & Palm Av,32.68712753,-117.093491,99310,0,,1,F-E/B,,,Division&Palm,
99311,Division St & N R Av,32.68777031,-117.091131,99311,0,,1,N-E/B,,,Division&N R,
99313,Division St & Palm Av,32.6872719,-117.0936809,99313,0,,1,N-W/B,,,Division&Palm,
99315,18th St & Highland Av,32.66937711,-117.0955894,99315,0,,1,N-E/B,high18,,18th&Highland,
99316,18th St & L Av,32.67070397,-117.0908642,99316,0,,1,F-E/B,,,18th&L,
99317,Paradise Valley Rd & Elkelton Bl,32.70292823,-117.0125137,99317,0,,1,N-W/B,,,Pdse Vly&Elkelton,
99318,Paradise Valley Rd & Elkelton Pl,32.70208459,-117.0129355,99318,0,,1,N-E/B,,,Pdse Vly&Elkelton,
99319,Paradise Valley Rd & Worthington St,32.69730961,-117.0192684,99319,0,,1,M-Street-W/B,,,Pdse Vly&Worthington,
99320,Paradise Valley Rd & Worthington St,32.69705953,-117.019263,99320,0,,1,M-Street-E/B,,,Pdse Vly&Worthington,
99321,Harbison Av & Plaza Bl,32.68137214,-117.0739883,99321,0,,1,F-S/B,,,Harbison&Pza,
99322,Woodman St & Benson Av,32.70524493,-117.0553599,99322,0,,2,N-S/B,,,Woodman&Benson,
99323,Woodman St & Benson Av,32.70493892,-117.0550808,99323,0,,2,N-N/B,,,Woodman&Benson,
