stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
10503,10503,Market St & 22nd St,,32.71146383,-117.14367644,,,0,,1,F-E/B,,Mrkt&22nd,
11264,11264,Market St & 22nd St,,32.71164960,-117.14421150,,,0,,1,F-W/B,,Mrkt&22nd,
10133,10133,Market St & 25th St,,32.71151504,-117.14039662,,,0,,1,N-E/B,,Mrkt&25th,
11275,11275,Market St & 25th St,,32.71171020,-117.14077572,,,0,,1,F-W/B,,Mrkt&25th,
10524,10524,Market St & 26th St,,32.71153076,-117.13783494,,,0,,1,F-E/B,,Mrkt&26th,
10897,10897,Market St & 26th St,,32.71174396,-117.13799964,,,0,,1,N-W/B,,Mrkt&26th,
10530,10530,Market St & 27th St,,32.71153200,-117.13575102,,,0,,1,F-E/B,,Mrkt&27th,
10903,10903,Market St & 27th St,,32.71174644,-117.13574342,,,0,,1,N-W/B,,Mrkt&27th,
10537,10537,Market St & 28th St,,32.71154497,-117.13355993,,,0,,1,F-E/B,,Mrkt&28th,
10914,10914,Market St & 28th St,,32.71176488,-117.13355563,,,0,,1,N-W/B,,Mrkt&28th,
10158,10158,Market St & 30th St,,32.71156459,-117.13043259,,,0,,1,N-E/B,,Mrkt&30th,mark30
10923,10923,Market St & 30th St,,32.71180612,-117.13048052,,,0,,1,N-W/B,,Mrkt&30th,mark30
10171,10171,Market St & 31st St,,32.71157701,-117.12753276,,,0,,1,N-E/B,,Mrkt&31st,
11304,11304,Market St & 31st St,,32.71178505,-117.12765187,,,0,,1,F-W/B,,Mrkt&31st,
10179,10179,Market St & 32nd St,,32.71159492,-117.12540024,,,0,,1,N-E/B,,Mrkt&32nd,
10935,10935,Market St & 32nd St,,32.71179677,-117.12561682,,,0,,1,F-W/B,,Mrkt&32nd,
10184,10184,Market St & 33rd St,,32.71168209,-117.12240687,,,0,,0,N-E/B,,Mrkt&33rd,
11317,11317,Market St & 33rd St,,32.71190442,-117.12283821,,,0,,0,N-W/B,,Mrkt&33rd,
10571,10571,Market St & 36th St,,32.71143490,-117.11614288,,,0,,0,F-E/B,,Mrkt&36th,
10951,10951,Market St & 36th St,,32.71166973,-117.11636301,,,0,,1,M-Street-W/B,,Mrkt&36th,
10587,10587,Market St & 40th St,,32.71141125,-117.10851891,,,0,,1,M-Street-E/B,,Mrkt&40th,
10619,10619,Market St & 45th St,,32.71135238,-117.09755903,,,0,,1,F-E/B,,Mrkt&45th,
11368,11368,Market St & 45th St,,32.71156054,-117.09766507,,,0,,0,N-W/B,,Mrkt&45th,
10625,10625,Market St & 47th St,,32.71121620,-117.09296725,,,0,,1,F-E/B,,Mrkt&47th,
10998,10998,Market St & 47th St,,32.71152498,-117.09323028,,,0,,1,N-W/B,,Mrkt&47th,
10474,10474,Market St & 6th Av,,32.71143589,-117.15878388,,,0,,1,F-E/B,,Mrkt&6th,
10848,10848,Market St & 8th Av,,32.71162721,-117.15706278,,,0,,0,N-W/B,,Mrkt&8th,
10225,10225,Market St & Denby St,,32.71139783,-117.10292696,,,0,,1,N-E/B,,Mrkt&Denby,
10983,10983,Market St & Denby St,,32.71158874,-117.10234687,,,0,,1,M-Street-W/B,,Mrkt&Denby,
10576,10576,Market St & Gateway Center Dr,,32.71141146,-117.11360682,,,0,,0,M-Street-E/B,,Mrkt&Gateway Ctr,
10578,10578,Market St & Gateway Center Wy,,32.71138540,-117.11183149,,,0,,0,M-Street-E/B,,Mrkt&Gateway Ctr,
11338,11338,Market St & Gateway Center Wy,,32.71161669,-117.11255874,,,0,,1,F-W/B,,Mrkt&Gateway Ctr,
10267,10267,Market St & Merlin Dr,,32.70999972,-117.07162581,,,0,,0,N-E/B,,Mrkt&Merlin,
11032,11032,Market St & Merlin Dr,,32.71010580,-117.07096684,,,0,,2,N-W/B,,Mrkt&Merlin,
10221,10221,Market St & Morrison St,,32.71138957,-117.10570654,,,0,,1,N-E/B,,Mrkt&Morrison,
10977,10977,Market St & Morrison St,,32.71161079,-117.10591025,,,0,,1,F-W/B,,Mrkt&Morrison,
10108,10108,Market St & Park Bl,,32.71146838,-117.15398888,,,0,marpar,1,N-E/B,,Mrkt&Park,marpar
10858,10858,Market St & Park Bl,,32.71164624,-117.15409799,,,0,marpar,1,F-W/B,,Mrkt&Park,marpar
10963,10963,Market St & Quail St,,32.71162651,-117.10957760,,,0,,1,N-E/B,,Mrkt&Quail,
11029,11029,Market St & Radio Dr,,32.71011720,-117.07214381,,,0,,2,N-W/B,,Mrkt&Radio,
99438,99438,Marshall Av & Arnele Av,,32.80457670,-116.97535891,,,0,,1,F-N/B,,Marshall&Arnele,
13438,13438,Marshall Av & Arnele Trolley Station,,32.80371746,-116.97565124,,,0,,1,M-Street-S/B,,Marshall&Arnele Trly,
12968,12968,Massachusetts Av & Balkis Ln,,32.73441076,-117.04281074,,,0,,0,F-N/B,,Mass&Balkis,
11797,11797,Massachusetts Av & Broadway,,32.74187281,-117.04295463,,,0,,1,F-S/B,,Mass&Brdwy,
11796,11796,Massachusetts Av & Central Av,,32.73900515,-117.04297891,,,0,,1,N-S/B,,Mass&Central,
12575,12575,Massachusetts Av & Central Av,,32.73876202,-117.04274908,,,0,,0,N-N/B,,Mass&Central,
