stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short,stop_url
10001,Cabrillo National Monument,32.674457927,-117.240425732,10001,0,,1,M-Special_Loc,cabmon,,Cabrillo Natl Monument,
10003,Pearl St & Draper Av,32.839578288,-117.276186771,10003,0,,1,N-E/B,,,Pearl&Draper,
10004,Pearl St & Fay Av,32.840128484,-117.273809897,10004,0,,1,N-E/B,,,Pearl&Fay,
10006,Torrey Pines Rd & Exchange Pl,32.845846699,-117.268673217,10006,0,,1,N-N/B,,,Try Pines&Exchange,
10007,Torrey Pines Rd & Princess St,32.848825603,-117.262585431,10007,0,,0,N-E/B,,,Try Pines&Princess,
10011,Garnet Av & Everts St,32.798100927,-117.248250130,10011,0,,1,N-E/B,,,Garnet&Everts,
10012,Grand Av & Fanuel St,32.796529038,-117.245833937,10012,0,,1,N-E/B,,,Grand&Fanuel,
10013,Garnet Av & Haines St,32.799293979,-117.242773582,10013,0,,1,N-E/B,,,Garnet&Haines,
10015,Garnet Av & Ingraham St,32.799650171,-117.241202492,10015,0,,1,N-E/B,inggar,,Garnet&Ingraham,
10016,Garnet Av & Jewell St,32.800123586,-117.239063191,10016,0,,1,N-E/B,,,Garnet&Jewell,
10020,Voltaire St & Mendocino St,32.745066707,-117.235748986,10020,0,,1,N-E/B,,,Voltaire&Mendocino,
10023,Garnet Av & Lamont St,32.800877164,-117.235566670,10023,0,,1,N-E/B,garlam,,Garnet&Lamont,
10024,Voltaire St & San Clemente St,32.742869054,-117.233535634,10024,0,,1,N-E/B,,,Voltaire&San Clemente,
10025,Garnet Av & Noyes St,32.801712905,-117.231748819,10025,0,,1,N-E/B,,,Garnet&Noyes,
10026,Chatsworth Bl & Tennyson St,32.738147328,-117.229704018,10026,0,,1,N-N/B,,,Chatsworth&Tennyson,
10027,Voltaire St & Poinsettia Dr,32.740255952,-117.229294925,10027,0,,1,N-E/B,volpoi,,Voltaire&Poinsettia,
10029,West Point Loma Bl & Adrian St,32.752661145,-117.226733143,10029,0,,1,N-E/B,,,WPt Loma&Adrian,
10031,Nimitz Bl & Rosecrans St,32.728942885,-117.226535305,10031,0,,0,M-Street-S/B,nimros,,Nimitz&Rosecrans,
10032,Grand Av & Culver St,32.800913130,-117.225849446,10032,0,,1,N-E/B,,,Grand&Culver,
10033,West Point Loma Bl & Loma Riviera Dr,32.753402255,-117.224077447,10033,0,,1,M-Street-E/B,,,WPt Loma&Loma Riviera,
10034,Nobel Dr & Lebon Dr,32.868293166,-117.225183245,10034,0,,1,N-E/B,nobleb,,Nobel&Lebon,
10036,Garnet Av & Bond St,32.805504004,-117.221213754,10036,0,,1,N-E/B,,,Garnet&Bond,
10038,Sports Arena Bl & Midway Dr,32.755674072,-117.221093797,10038,0,,1,M-Street-S/B,,,Sports Arena&Midway,
10040,Midway Dr & Duke St,32.753929973,-117.218140676,10040,0,,1,N-S/B,,,Midway&Duke,
10043,Midway Dr & Kemper St,32.752436254,-117.215847441,10043,0,,1,N-S/B,,,Midway&Kemper,
10044,Grand Av & Mission Bay Dr,32.802273496,-117.217839064,10044,0,,1,N-E/B,,,Grand&Mission Bay,
10045,Balboa Av & Moraga Av,32.807743886,-117.210696668,10045,0,,2,M-Street-E/B,,,Balboa&Moraga,
10048,Morena Bl & Frankfort St,32.774686408,-117.206214033,10048,0,,1,N-S/B,,,Morena&Frankfort,
10049,Governor Dr & Radcliffe Dr,32.854345081,-117.206105930,10049,0,,1,N-E/B,,,Governor&Radcliffe,
10050,Morena Bl & Knoxville St,32.773326656,-117.203983728,10050,0,,1,N-S/B,,,Morena&Knoxville,
10051,Clairemont Dr & Merrimac Av,32.833071777,-117.202866709,10051,0,,1,M-Street-E/B,,,Clairemont&Merrimac,
10062,Linda Vista Rd & Colusa St,32.768909461,-117.191137785,10062,0,,1,N-E/B,,,L Vsta&Colusa,
10064,Taylor St & I-8 East (Ramp),32.759253229,-117.190504415,10064,0,,2,N-E/B,,,Taylor&I-8 E(Ramp),
10073,Clairemont Mesa Bl & Longford St,32.834321220,-117.182854914,10073,0,,1,N-E/B,,,Cmnt Mesa&Longford,
10074,Miramar Rd & Miramar Mall,32.876883802,-117.182990258,10074,0,,1,N-E/B,mirmal,,Miramar&Miramar Mall,
10075,N Harbor Dr & Laurel St (Coast Guard),32.727781812,-117.182286477,10075,0,,1,M-Street-E/B,,,N Harbor&Laurel (Coast Guard),
