"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"4446","NCTD_20024","20024","20024","Vandegrift Bl & Area 26","33.31786900","-117.32703200","NCTD","","N-E/B","","","33.317864176015235","-117.32702002737115"
"4447","NCTD_20025","20025","20025","Oceanside Bl & Industry St","33.19783600","-117.35010900","NCTD","","N-E/B","","","33.197831191053766","-117.35009703208397"
"4448","NCTD_20026","20026","20026","Bldg 22114 & 10th St","33.29430000","-117.35063300","NCTD","","N-E/B","","","33.29429518060165","-117.35062102486323"
"4449","NCTD_20027","20027","20027","Grand Av & Madison St","33.16162500","-117.34776800","NCTD","","N-E/B","","","33.16162019490686","-117.34775603572281"
"4450","NCTD_20030","20030","20030","Grand Av & Harding St","33.16283400","-117.34566300","NCTD","","N-E/B","","","33.16282919551564","-117.34565103571612"
"4451","NCTD_20032","20032","20032","Oceanside Bl & Camelot Dr","33.20065400","-117.34432500","NCTD","","N-E/B","","","33.2006491909692","-117.34431303222097"
"4452","NCTD_20038","20038","20038","Oceanside Blvd & Garrison St","33.20167100","-117.33661200","NCTD","","F-E/B","","","33.201666190632075","-117.33660003392752"
"4453","NCTD_20039","20039","20039","Mission Av & 3745 (Fireside St)","33.22305200","-117.33429100","NCTD","","F-E/B","","","33.223047187325534","-117.33427903310805"
"4454","NCTD_20041","20041","20041","Mesa Dr & Garrison St","33.20864100","-117.33434100","NCTD","","N-E/B","mesecE","","33.20863618884366","-117.33432903462878"
"4455","NCTD_20045","20045","20045","Mission Av & El Camino Real","33.22536800","-117.33134800","NCTD","","N-E/B","misecE","","33.225363187039676","-117.33133603324043"
"4456","NCTD_20047","20047","20047","Magnolia Av & Brady Cr (Jr High)","33.15837000","-117.33038200","NCTD","","F-E/B","","","33.15836519468689","-117.33037003817522"
"4457","NCTD_20051","20051","20051","Carlsbad Village Dr & Santa Clara Way","33.17054200","-117.31692900","NCTD","","N-E/B","cvsanE","","33.170537192710135","-117.31691704082057"
"4458","NCTD_20054","20054","20054","Carlsbad Village Dr & Victoria Av","33.16648400","-117.30573700","NCTD","","F-E/B","","","33.166479192606765","-117.30572504261096"
"4459","NCTD_20059","20059","20059","N River Rd & Redondo Dr","33.24953900","-117.30080200","NCTD","","F-N/B","vanred","","33.24953418309132","-117.30079003734978"
"4460","NCTD_20061","20061","20061","Barnard Dr & Meadow Ln","33.18671300","-117.29737200","NCTD","","N-E/B","","","33.1867081899382","-117.29736004231422"
"4461","NCTD_20063","20063","20063","Encinitas Bl & I-5","33.04849000","-117.28960300","NCTD","","N-E/B","","","33.04848520566425","-117.28959105318457"
"4462","NCTD_20066","20066","20066","Santa Fe Dr & Summit Av","33.03613200","-117.28837400","NCTD","","N-E/B","","","33.03612720675014","-117.28836205538744"
